timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748179360958,4080,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-44,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4080
1748179361024,4078,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-2,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4078
1748179361024,4078,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-4,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4078
1748179361024,4104,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-1,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4104
1748179361024,4104,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-3,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4104
1748179361058,4074,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-45,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4074
1748179361142,4099,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-5,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4099
1748179361157,4099,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-46,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4099
1748179361257,4061,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-47,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4060
1748179361266,4084,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-6,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4084
1748179361329,4098,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-7,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4098
1748179361358,4100,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-48,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4100
1748179361456,4080,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-8,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4080
1748179361457,4079,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-49,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4079
